,city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,no_of_rooms,no_of_guests
556,Manhattan,"The Time New York, New York",HOTEL,159,4.5,722.0,4.2,"1 room, 3 adults",1,3
558,Manhattan,"Hotel Giraffe by Library Hotel Collection, New York",HOTEL,251,4.0,316.0,4.8,"1 room, 3 adults",1,3
560,Manhattan,"Baccarat Hotel and Residences New York, New York",HOTEL,945,5.0,109.0,4.7,"1 room, 3 adults",1,3
563,Manhattan,"The Marmara Park Avenue, New York",HOTEL,293,5.0,380.0,4.4,"1 room, 3 adults",1,3
564,Manhattan,"The Library Hotel by Library Hotel Collection, New York",HOTEL,287,4.0,265.0,4.8,"1 room, 3 adults",1,3
568,Manhattan,"Hotel Wales, New York",HOTEL,183,3.5,371.0,4.1,"1 room, 3 adults",1,3
570,Manhattan,"Aloft Harlem, New York",HOTEL,143,3.5,329.0,4.2,"1 room, 3 adults",1,3
571,Manhattan,"DoubleTree by Hilton New York City - Chelsea, New York",HOTEL,103,4.0,1225.0,3.9,"1 room, 3 adults",1,3
573,Manhattan,"Eurostars Wall Street, New York",HOTEL,103,4.0,347.0,3.7,"1 room, 3 adults",1,3
574,Manhattan,"Holiday Inn Manhattan-Financial District, New York",HOTEL,95,4.0,1823.0,4.1,"1 room, 3 adults",1,3
576,Manhattan,"Loews Regency New York Hotel, New York",HOTEL,459,5.0,635.0,4.5,"1 room, 3 adults",1,3
577,Manhattan,"Warwick New York, New York",HOTEL,153,4.5,1529.0,4.4,"1 room, 3 adults",1,3
578,Manhattan,"Fairfield Inn & Suites New York Midtown Manhattan/Penn Station, New York",HOTEL,134,3.0,1131.0,4.4,"1 room, 3 adults",1,3
580,Manhattan,"The High Line Hotel, New York",HOTEL,199,4.0,215.0,4.4,"1 room, 3 adults",1,3
581,Manhattan,"Bentley Hotel, New York",HOTEL,129,4.0,1349.0,3.9,"1 room, 3 adults",1,3
586,Manhattan,"The Paul Hotel NYC-Chelsea, an Ascend Hotel Collection Member, New York",HOTEL,116,4.0,608.0,3.9,"1 room, 3 adults",1,3
587,Manhattan,"Courtyard New York Manhattan/Times Square West, New York",HOTEL,111,3.5,727.0,4.5,"1 room, 3 adults",1,3
588,Manhattan,"Hudson New York, Central Park, New York",HOTEL,149,4.0,2381.0,3.3,"1 room, 3 adults",1,3
589,Manhattan,"The London NYC, New York",HOTEL,427,4.5,638.0,4.2,"1 room, 3 adults",1,3
591,Manhattan,"AKA Times Square, New York",HOTEL,295,4.0,86.0,4.5,"1 room, 3 adults",1,3
593,Manhattan,"Hotel Elysee by Library Hotel Collection, New York",HOTEL,212,4.0,305.0,4.7,"1 room, 3 adults",1,3
595,Manhattan,"Hyatt House New York/Chelsea, New York",HOTEL,129,3.5,299.0,4.4,"1 room, 3 adults",1,3
596,Manhattan,"Hyatt Centric Times Square New York, New York",HOTEL,219,4.5,1718.0,4.5,"1 room, 3 adults",1,3
597,Manhattan,"Hampton Inn Manhattan/Times Square Central, New York",HOTEL,129,3.5,2213.0,4.6,"1 room, 3 adults",1,3
599,Manhattan,"Room Mate Grace Boutique Hotel, New York",HOTEL,161,3.5,959.0,4.4,"1 room, 3 adults",1,3
600,Manhattan,"Four Seasons Hotel New York, New York",HOTEL,1195,5.0,59.0,4.6,"1 room, 3 adults",1,3
601,Manhattan,"The Nolitan, New York",HOTEL,190,3.5,99.0,4.3,"1 room, 3 adults",1,3
603,Manhattan,"The Sohotel, New York",HOTEL,123,3.0,542.0,4.2,"1 room, 3 adults",1,3
604,Manhattan,"Casablanca Hotel by Library Hotel Collection, New York",HOTEL,242,4.0,450.0,4.8,"1 room, 3 adults",1,3
605,Manhattan,"The Evelyn Hotel, New York",HOTEL,143,4.0,773.0,4.1,"1 room, 3 adults",1,3
606,Manhattan,"Mayfair New York, New York",HOTEL,123,3.0,1365.0,3.5,"1 room, 3 adults",1,3
609,Manhattan,"Excelsior Hotel, New York",HOTEL,231,3.5,1297.0,4.3,"1 room, 3 adults",1,3
611,Manhattan,"Washington Jefferson Hotel, New York",HOTEL,137,3.5,751.0,3.7,"1 room, 3 adults",1,3
614,Manhattan,"Econo Lodge Times Square, New York",HOTEL,110,2.5,498.0,3.7,"1 room, 3 adults",1,3
617,Manhattan,"The Roosevelt Hotel, New York City, New York",HOTEL,134,4.0,8923.0,3.4,"1 room, 3 adults",1,3
618,Manhattan,"Harlem YMCA, New York",HOTEL,97,2.0,177.0,3.4,"1 room, 3 adults",1,3
620,Manhattan,"Hotel Pennsylvania, New York",HOTEL,99,2.5,6818.0,2.4,"1 room, 3 adults",1,3
622,Manhattan,"AKA Wall Street, New York",HOTEL,225,4.0,315.0,4.7,"1 room, 3 adults",1,3
623,Manhattan,"Park Central Hotel New York, New York",HOTEL,95,4.0,4203.0,3.9,"1 room, 3 adults",1,3
626,Manhattan,"The Hotel 91, New York",HOTEL,151,3.0,900.0,3.8,"1 room, 3 adults",1,3
627,Manhattan,"The NoMad Hotel, New York",HOTEL,395,5.0,369.0,4.7,"1 room, 3 adults",1,3
630,Manhattan,"Wyndham Midtown 45 at New York City, New York",HOTEL,209,3.0,58.0,3.7,"1 room, 3 adults",1,3
632,Manhattan,"The Ludlow Hotel, New York",HOTEL,325,4.5,311.0,4.7,"1 room, 3 adults",1,3
634,Manhattan,"Hotel 309, New York",HOTEL,100,2.0,275.0,2.6,"1 room, 3 adults",1,3
635,Manhattan,"Lotte New York Palace, New York",HOTEL,325,4.5,2142.0,4.6,"1 room, 3 adults",1,3
639,Manhattan,"Wolcott Hotel, New York",HOTEL,250,2.5,375.0,4.1,"1 room, 3 adults",1,3
641,Manhattan,"Broadway Plaza Hotel, New York",HOTEL,149,3.5,1127.0,4.3,"1 room, 3 adults",1,3
642,Manhattan,"CITY ROOMS NYC - Chelsea, New York",HOTEL,134,2.0,166.0,3.7,"1 room, 3 adults",1,3
644,Manhattan,"Empire Hotel, New York",HOTEL,175,4.0,2364.0,3.7,"1 room, 3 adults",1,3
645,Manhattan,"Hotel 31, New York",HOTEL,106,2.0,1079.0,4.0,"1 room, 3 adults",1,3
646,Manhattan,"Arthouse Hotel New York City, New York",HOTEL,135,4.0,1862.0,4.3,"1 room, 3 adults",1,3
648,Manhattan,"Marriott Vacation Club Pulse, New York City, New York",HOTEL,134,4.0,236.0,4.2,"1 room, 3 adults",1,3
650,Manhattan,"The Gotham Hotel, New York",HOTEL,159,4.5,921.0,4.0,"1 room, 3 adults",1,3
652,Manhattan,"Embassy Suites by Hilton New York Midtown Manhattan, New York",HOTEL,107,3.5,469.0,4.4,"1 room, 3 adults",1,3
653,Manhattan,"Omni Berkshire Place, New York",HOTEL,197,4.5,1322.0,4.4,"1 room, 3 adults",1,3
655,Manhattan,"Travel Inn Hotel, New York",HOTEL,160,2.5,1123.0,3.9,"1 room, 3 adults",1,3
656,Manhattan,"NobleDEN Hotel, New York",HOTEL,194,4.0,885.0,4.7,"1 room, 3 adults",1,3
657,Manhattan,"East Village Hotel, New York",HOTEL,188,3.0,191.0,4.1,"1 room, 3 adults",1,3
658,Manhattan,"The Westin New York at Times Square, New York",HOTEL,175,4.5,2108.0,4.2,"1 room, 3 adults",1,3
662,Manhattan,"The Knickerbocker Hotel, New York",HOTEL,236,5.0,1227.0,4.5,"1 room, 3 adults",1,3
663,Manhattan,"Mandarin Oriental, New York, New York",HOTEL,895,5.0,106.0,4.6,"1 room, 3 adults",1,3
664,Manhattan,"Club Quarters Hotel, World Trade Center, New York",HOTEL,143,4.0,928.0,4.4,"1 room, 3 adults",1,3
667,Manhattan,"Dream Downtown, New York",HOTEL,150,4.5,769.0,3.8,"1 room, 3 adults",1,3
669,Manhattan,"AKA Tribeca, New York",HOTEL,224,4.0,241.0,4.5,"1 room, 3 adults",1,3
671,Manhattan,"Midtown Convention Center Hotel, New York",HOTEL,184,3.0,346.0,3.0,"1 room, 3 adults",1,3
674,Manhattan,"The James New York- SoHo, New York",HOTEL,253,4.5,310.0,4.1,"1 room, 3 adults",1,3
675,Manhattan,"6 Columbus Central Park a Sixty Hotel, New York",HOTEL,190,4.5,240.0,3.8,"1 room, 3 adults",1,3
676,Manhattan,"Millennium Times Square New York, New York",HOTEL,180,4.0,3365.0,3.8,"1 room, 3 adults",1,3
677,Manhattan,"U Hotel Fifth Avenue, New York",HOTEL,109,3.0,352.0,4.0,"1 room, 3 adults",1,3
680,Manhattan,"New World Hotel, New York",HOTEL,71,1.5,574.0,1.8,"1 room, 3 adults",1,3
682,Manhattan,"Aloft Manhattan Downtown - Financial District, New York",HOTEL,109,3.0,300.0,4.4,"1 room, 3 adults",1,3
683,Manhattan,"Salisbury Hotel, New York",HOTEL,88,3.0,5038.0,3.7,"1 room, 3 adults",1,3
686,Manhattan,"The Bowery House, New York",HOTEL,109,2.0,259.0,3.1,"1 room, 3 adults",1,3
687,Manhattan,"Flatiron Hotel, New York",HOTEL,149,4.0,372.0,3.3,"1 room, 3 adults",1,3
688,Manhattan,"Days Hotel by Wyndham on Broadway NYC, New York",HOTEL,97,2.5,1641.0,2.9,"1 room, 3 adults",1,3
689,Manhattan,"Carvi Hotel New York, New York",HOTEL,119,3.0,214.0,4.2,"1 room, 3 adults",1,3
691,Manhattan,"Hotel Boutique at Grand Central, New York",HOTEL,137,4.0,1009.0,4.4,"1 room, 3 adults",1,3
694,Manhattan,"The Wall Street Inn, New York",HOTEL,134,3.0,418.0,4.4,"1 room, 3 adults",1,3
695,Manhattan,"San Carlos Hotel, New York",HOTEL,184,4.5,639.0,4.5,"1 room, 3 adults",1,3
700,Manhattan,"Courtyard by Marriott New York City Manhattan Midtown East, New York",HOTEL,99,3.5,1826.0,4.4,"1 room, 3 adults",1,3
703,Manhattan,"Four Points by Sheraton Manhattan SoHo Village, New York",HOTEL,109,3.5,349.0,4.1,"1 room, 3 adults",1,3
709,Manhattan,"Off Soho Suites Hotel, New York",HOTEL,179,2.0,375.0,3.7,"1 room, 3 adults",1,3
712,Manhattan,"World Center Hotel, New York",HOTEL,149,4.0,1313.0,4.3,"1 room, 3 adults",1,3
717,Manhattan,"Fitzpatrick Grand Central, New York",HOTEL,158,4.0,832.0,4.4,"1 room, 3 adults",1,3
725,Manhattan,"The Jewel facing Rockefeller Center, New York",HOTEL,161,4.0,2029.0,4.4,"1 room, 3 adults",1,3
729,Manhattan,"citizenM New York Times Square, New York",HOTEL,174,4.0,1145.0,4.7,"1 room, 3 adults",1,3
730,Manhattan,"Avalon Hotel, New York",HOTEL,135,4.0,700.0,4.2,"1 room, 3 adults",1,3
731,Manhattan,"Hilton Garden Inn New York/Manhattan-Midtown East, New York",HOTEL,119,3.5,736.0,4.3,"1 room, 3 adults",1,3
732,Manhattan,"Viceroy Central Park New York, New York",HOTEL,209,4.0,687.0,3.9,"1 room, 3 adults",1,3
733,Manhattan,"The Pearl New York, New York",HOTEL,152,4.0,1196.0,4.6,"1 room, 3 adults",1,3
734,Manhattan,"TRYP By Wyndham Times Square South, New York",HOTEL,124,4.5,1235.0,4.1,"1 room, 3 adults",1,3
736,Manhattan,"The Mansfield Hotel, New York",HOTEL,98,3.5,825.0,3.5,"1 room, 3 adults",1,3
737,Manhattan,"Dream Midtown, New York",HOTEL,150,4.0,957.0,4.1,"1 room, 3 adults",1,3
738,Manhattan,"Trump International Hotel & Tower New York, New York",HOTEL,524,5.0,539.0,4.6,"1 room, 3 adults",1,3
739,Manhattan,"Life Hotel NoMad, New York",HOTEL,125,4.0,433.0,4.0,"1 room, 3 adults",1,3
740,Manhattan,"The Westin New York Grand Central, New York",HOTEL,125,4.5,1389.0,4.2,"1 room, 3 adults",1,3
741,Manhattan,"Hyatt Place New York Midtown South, New York",HOTEL,129,3.5,885.0,4.4,"1 room, 3 adults",1,3
743,Manhattan,"Q&A Residential Hotel, New York",HOTEL,224,4.0,669.0,4.7,"1 room, 3 adults",1,3
745,Manhattan,"Kimpton Hotel Eventi, New York",HOTEL,189,5.0,1064.0,4.5,"1 room, 3 adults",1,3
746,Manhattan,"Best Western Bowery Hanbee Hotel, New York",HOTEL,104,3.0,758.0,4.2,"1 room, 3 adults",1,3
747,Manhattan,"Holiday Inn Express - New York City Chelsea, New York",HOTEL,114,3.0,951.0,4.1,"1 room, 3 adults",1,3
749,Manhattan,"Park Hyatt New York, New York",HOTEL,895,5.0,83.0,4.4,"1 room, 3 adults",1,3
750,Manhattan,"Blue Moon Boutique Hotel, New York",HOTEL,249,3.0,335.0,3.4,"1 room, 3 adults",1,3
751,Manhattan,"Cachet Boutique New York, New York",HOTEL,170,4.0,579.0,3.9,"1 room, 3 adults",1,3
753,Manhattan,"AKA Central Park, New York",HOTEL,575,4.0,216.0,4.4,"1 room, 3 adults",1,3
754,Manhattan,"Renaissance New York Times Square Hotel, New York",HOTEL,178,4.0,477.0,4.4,"1 room, 3 adults",1,3
755,Manhattan,"Fairfield Inn & Suites by Marriott New York ManhattanChelsea, New York",HOTEL,104,3.0,303.0,4.3,"1 room, 3 adults",1,3
756,Manhattan,"Renaissance New York Midtown Hotel, New York",HOTEL,237,4.0,519.0,4.6,"1 room, 3 adults",1,3
759,Manhattan,"Leon Hotel, New York",HOTEL,120,3.5,256.0,4.3,"1 room, 3 adults",1,3
760,Manhattan,"West 57th Street by Hilton Club, New York",HOTEL,542,4.0,16.0,4.6,"1 room, 3 adults",1,3
762,Manhattan,"Hotel Americano, New York",HOTEL,209,4.5,127.0,3.9,"1 room, 3 adults",1,3
765,Manhattan,"Hotel 50 Bowery NYC, New York",HOTEL,189,4.5,865.0,4.6,"1 room, 3 adults",1,3
769,Manhattan,"Gild Hall, A Thompson Hotel, New York",HOTEL,189,4.5,581.0,4.6,"1 room, 3 adults",1,3
772,Manhattan,"Hotel Beacon, New York",HOTEL,321,4.0,1132.0,4.5,"1 room, 3 adults",1,3
774,Manhattan,"St Marks Hotel, New York",HOTEL,136,3.0,354.0,3.1,"1 room, 3 adults",1,3
775,Manhattan,"The Kitano Hotel New York, New York",HOTEL,274,4.5,833.0,4.5,"1 room, 3 adults",1,3
776,Manhattan,"CITY ROOMS NYC - Soho, New York",HOTEL,99,2.5,231.0,4.3,"1 room, 3 adults",1,3
777,Manhattan,"SIXTY Lower East Side, New York",HOTEL,190,4.5,376.0,4.0,"1 room, 3 adults",1,3
778,Manhattan,"The Lexington Hotel, Autograph Collection, New York",HOTEL,140,4.0,1891.0,4.2,"1 room, 3 adults",1,3
779,Manhattan,"The Hilton Club - New York, New York",HOTEL,429,4.0,43.0,4.3,"1 room, 3 adults",1,3
781,Manhattan,"Holiday Inn NYC - Lower East Side, New York",HOTEL,96,4.0,331.0,4.3,"1 room, 3 adults",1,3
782,Manhattan,"The Kimpton Muse Hotel, New York",HOTEL,179,4.5,726.0,4.6,"1 room, 3 adults",1,3
786,Manhattan,"Chelsea Savoy Hotel, New York",HOTEL,235,2.0,1365.0,4.1,"1 room, 3 adults",1,3
787,Manhattan,"Hotel Mela Times Square, New York",HOTEL,99,4.0,2037.0,3.9,"1 room, 3 adults",1,3
788,Manhattan,"The Shoreham Hotel, New York",HOTEL,143,4.0,754.0,3.7,"1 room, 3 adults",1,3
789,Manhattan,"New York Marriott Marquis, New York",HOTEL,220,4.5,3182.0,4.4,"1 room, 3 adults",1,3
790,Manhattan,"Millennium Premier New York Times Square, New York",HOTEL,185,4.0,1260.0,4.2,"1 room, 3 adults",1,3
793,Manhattan,"W New York - Times Square, New York",HOTEL,219,4.5,848.0,4.1,"1 room, 3 adults",1,3
795,Manhattan,"Sheraton Tribeca New York Hotel, New York",HOTEL,107,4.0,897.0,4.0,"1 room, 3 adults",1,3
799,Manhattan,"Row NYC, New York",HOTEL,89,4.0,5653.0,3.4,"1 room, 3 adults",1,3
805,Manhattan,"Hotel Plaza Athenee, New York",HOTEL,539,5.0,544.0,4.4,"1 room, 3 adults",1,3
806,Manhattan,"Chelsea Inn, New York",HOTEL,85,3.0,543.0,3.7,"1 room, 3 adults",1,3
808,Manhattan,"Comfort Inn Times Square West, New York",HOTEL,123,2.5,823.0,3.9,"1 room, 3 adults",1,3
809,Manhattan,"The Bernic Hotel New York City, Tapestry Collection by Hilton, New York",HOTEL,116,4.0,475.0,4.5,"1 room, 3 adults",1,3
810,Manhattan,"Residence Inn by Marriott New York Manhattan/Times Square, New York",HOTEL,169,3.5,700.0,4.3,"1 room, 3 adults",1,3
816,Manhattan,"Archer Hotel New York, New York",HOTEL,199,4.5,1256.0,4.7,"1 room, 3 adults",1,3
818,Manhattan,"The Quin Central Park by Hilton Club, New York",HOTEL,377,5.0,448.0,4.4,"1 room, 3 adults",1,3
823,Manhattan,"Sheraton New York Times Square Hotel, New York",HOTEL,169,4.0,2553.0,3.9,"1 room, 3 adults",1,3
824,Manhattan,"Macy Empire Apartments, New York",HOTEL,210,3.5,59.0,3.0,"1 room, 3 adults",1,3
826,Manhattan,"Colonial House Inn, New York",HOTEL,177,3.0,72.0,3.8,"1 room, 3 adults",1,3
829,Manhattan,"255West Guesthouse, New York",HOTEL,195,3.5,74.0,4.5,"1 room, 3 adults",1,3
831,Manhattan,"Hilton Garden Inn New York/Central Park South-Midtown West, New York",HOTEL,109,3.5,1385.0,4.3,"1 room, 3 adults",1,3
835,Manhattan,"Four Points by Sheraton Manhattan - Chelsea, New York",HOTEL,99,3.0,521.0,4.2,"1 room, 3 adults",1,3
836,Manhattan,"The Gallivant Times Square , New York",HOTEL,109,3.5,1382.0,3.7,"1 room, 3 adults",1,3
839,Manhattan,"3 West Club, New York",HOTEL,159,3.5,233.0,4.1,"1 room, 3 adults",1,3
840,Manhattan,"Conrad New York, New York",HOTEL,297,5.0,775.0,4.8,"1 room, 3 adults",1,3
841,Manhattan,"Crowne Plaza Times Square Manhattan, New York",HOTEL,105,4.0,3824.0,4.2,"1 room, 3 adults",1,3
842,Manhattan,"Bowery Grand Hotel, New York",HOTEL,77,1.0,265.0,2.2,"1 room, 3 adults",1,3
843,Manhattan,"Blakely New York, New York",HOTEL,225,4.5,718.0,4.4,"1 room, 3 adults",1,3
845,Manhattan,"Pod 51, New York",HOTEL,129,3.0,3427.0,4.0,"1 room, 3 adults",1,3
847,Manhattan,"Park West Hotel, New York",HOTEL,90,3.0,412.0,3.2,"1 room, 3 adults",1,3
848,Manhattan,"The Standard East Village, New York",HOTEL,195,4.0,368.0,4.4,"1 room, 3 adults",1,3
849,Manhattan,"Casamia 36 Hotel, New York",HOTEL,146,3.0,361.0,3.7,"1 room, 3 adults",1,3
852,Manhattan,"The Frederick Hotel, New York",HOTEL,127,4.0,497.0,4.3,"1 room, 3 adults",1,3
856,Manhattan,"Hotel Indigo Lower East Side New York, New York",HOTEL,178,4.5,771.0,4.4,"1 room, 3 adults",1,3
857,Manhattan,"Hotel 32 32, New York",HOTEL,124,4.0,1330.0,4.0,"1 room, 3 adults",1,3
858,Manhattan,"Hudson River Hotel, New York",HOTEL,109,2.5,315.0,3.7,"1 room, 3 adults",1,3
861,Manhattan,"Club Quarters Hotel, opposite Rockefeller Center, New York",HOTEL,151,4.0,1651.0,4.1,"1 room, 3 adults",1,3
862,Manhattan,"Clarion Hotel Park Avenue, New York",HOTEL,199,2.5,69.0,3.7,"1 room, 3 adults",1,3
863,Manhattan,"Night Hotel Theater District, Times Square, New York",HOTEL,129,4.0,558.0,3.8,"1 room, 3 adults",1,3
866,Manhattan,"The Gregory Hotel, New York",HOTEL,135,4.0,1009.0,4.0,"1 room, 3 adults",1,3
867,Manhattan,"414 Hotel, New York",HOTEL,296,3.5,90.0,4.8,"1 room, 3 adults",1,3
868,Manhattan,"Soho Grand Hotel, New York",HOTEL,199,4.5,759.0,4.4,"1 room, 3 adults",1,3
871,Manhattan,"Hilton Garden Inn New York/Manhattan-Chelsea, New York",HOTEL,157,3.5,968.0,4.3,"1 room, 3 adults",1,3
872,Manhattan,"Washington Square Hotel, New York",HOTEL,308,3.5,333.0,4.4,"1 room, 3 adults",1,3
876,Manhattan,"The Marmara Manhattan, New York",HOTEL,286,3.5,335.0,4.2,"1 room, 3 adults",1,3
881,Manhattan,"The Inn at Irving Place, New York",HOTEL,295,4.0,111.0,4.5,"1 room, 3 adults",1,3
